POINTID,MDE,ASPECTB,HARB,PMA,TMEDPROM,EVI
1964,1619,1.9725,16,860,19.61,0.255643
2043,1994,1.5615,17,890,18.31,0.341373
2044,1986,1.627,13,890,18.29,0.300288
2045,1988,1.5634,16,890,18.26,0.285873
2046,2008,1.8944,9,891,18.18,0.280512
2090,1579,1.0598,17,862,19.56,0.265502
2177,2055,1.7682,19,890,18.18,0.369889
2178,2031,1.7389,17,891,18.15,0.283166
2179,1999,1.9527,14,890,18.23,0.26783
2187,2007,1.6776,19,885,18.34,0.365625
2188,1995,1.9548,12,886,18.27,0.302977
2189,1994,1.0804,21,887,18.23,0.471374
2190,2015,1.3032,19,887,18.2,0.43249
2193,2008,1,15,888,18.16,0.482271
2194,1995,0.7424,15,886,18.26,0.457076
2195,1985,1.771,17,884,18.34,0.366258
2196,1987,1.7328,8,884,18.38,0.272585
2307,1986,1.9945,17,890,18.26,0.344698
2308,2010,0.1272,12,890,18.18,0.235076
2309,2075,0.0019,15,891,18.12,0.255634
2310,2078,1.9487,11,891,18.1,0.302493
2311,2047,1.9536,14,890,18.16,0.319799
2320,2018,1.2334,19,888,18.2,0.385615
2321,2033,1.6616,9,887,18.2,0.290626
2323,2032,1.7593,12,887,18.16,0.337794
2324,2012,1.4819,18,888,18.17,0.553292
2325,2009,1.2822,13,888,18.23,0.298217
2436,1989,1.4473,7,890,18.27,0.309868
2439,2024,1.9029,15,890,18.24,0.295927
2440,2046,0.8221,16,890,18.22,0.274853
2441,2066,1.7894,10,891,18.08,0.3014
2450,1975,1.31,11,885,18.34,0.284821
2451,2021,1.1085,20,887,18.22,0.432021
2452,2041,1.6824,13,888,18.16,0.351575
2453,2046,1.8683,12,888,18.17,0.312657
2455,2027,1.5301,8,888,18.15,0.264198
2456,2014,1.8575,17,888,18.18,0.322769
2457,2019,1.5931,12,888,18.2,0.278853
2458,2029,1.388,16,888,18.22,0.418314
2459,2036,1.9162,16,887,18.23,0.392442
2460,2020,1.995,10,887,18.23,0.37372
2462,1998,1.2248,8,885,18.26,0.338114
2489,1853,1.7433,14,873,18.84,0.26908
2569,2020,1.668,11,890,18.24,0.308638
2570,2004,1.5051,12,890,18.25,0.302143
2571,2034,1.5547,13,890,18.17,0.280858
2572,2043,0.102,10,892,18.07,0.234402
2573,2095,1.9487,15,893,18,0.294861
2574,2067,1.8411,13,892,18.04,0.30193
2575,2027,1.0905,12,890,18.15,0.309996
2576,2003,1.772,15,889,18.23,0.321809
2582,2027,1.0689,20,886,18.26,0.360626
2583,2053,1.388,15,888,18.19,0.371422
2585,2055,1.5547,19,888,18.14,0.484085
2586,2041,1.824,16,888,18.13,0.435705
2587,2020,1.3161,22,888,18.16,0.423732
2589,2038,1.4229,17,888,18.16,0.395126
2591,2036,1.669,15,889,18.15,0.451962
2592,2036,1.3161,16,889,18.15,0.368837
2596,2007,1.4788,22,886,18.23,0.563994
2597,1996,1.6316,26,885,18.26,0.762185
2701,2081,1,17,891,18.14,0.318815
2702,2068,1.7786,21,892,18.09,0.307787
2703,2090,1.8787,17,893,18.01,0.361458
2704,2066,1.6472,13,894,17.95,0.337219
2705,2061,0.7771,15,894,17.92,0.307584
2706,2057,0.2838,14,891,18.02,0.296417
2707,2038,1.8552,18,890,18.13,0.33105
2708,2013,1.9824,17,888,18.21,0.338867
2711,2005,1.9453,15,887,18.31,0.381801
2712,1989,1.8609,15,885,18.33,0.339962
2715,2060,0.0194,14,888,18.15,0.409311
2716,2058,1.6824,12,888,18.12,0.360082
2717,2045,0.3753,14,889,18.11,0.328412
2718,2032,1.3012,15,889,18.12,0.446082
2719,2036,1.6,18,889,18.11,0.372921
2720,2037,1.9487,12,889,18.09,0.316391
2722,2060,1.7753,22,889,18.08,0.469758
2723,2040,1.9833,22,889,18.09,0.460971
2724,2046,1.9739,6,889,18.11,0.3565
2725,2023,1.9615,19,888,18.14,0.425716
2726,2029,0.9233,14,887,18.17,0.346884
2727,2017,1.6757,13,888,18.18,0.562135
2728,2016,1.952,17,888,18.19,0.338276
2729,2016,1.6586,20,887,18.21,0.457849
2831,2003,1.7894,14,891,18.23,0.33085
2833,2067,0.0493,17,894,17.99,0.274781
2834,2148,0.9191,19,896,17.84,0.375485
2835,2146,1.7776,18,895,17.84,0.406527
2836,2131,1.9981,18,895,17.84,0.349511
2837,2083,1.9886,18,894,17.87,0.400538
2838,2057,1.8683,15,891,18.01,0.295519
2839,2023,1.9982,17,890,18.15,0.407571
2840,2006,1.7499,19,888,18.22,0.357044
2841,1994,1.7904,15,887,18.25,0.367
2842,2006,0.771,18,888,18.28,0.333733
2844,2008,1.87,14,888,18.23,0.28638
2845,1991,1.9085,19,888,18.24,0.367869
2846,2003,0.3753,13,889,18.2,0.369245
